local,Cachoeira do Caracol,Cachoeira do Salto Grande,Cataratas do Iguacu,Cachoeira do Itambe,Cachoeira do Tabuleiro,Cachoeira Conde Deu,Cachoeira da Fumaca,Cachoeira Boca da Onca,Cachoeira Veu da Noiva,Cachoeira Santa Barbara,Cachoeira do Tororo,Cachoeira do Formiga
Cachoeira do Caracol,0,640811,949940,1401665,1890715,1683091,1876665,1584809,2389490,2412952,2086133,2970078
Cachoeira do Salto Grande,655244,0,755514,821714,1310764,1103140,1296714,1308423,1809539,1833001,1506182,2390127
Cataratas do Iguacu,950303,755556,0,1076559,1686855,1639653,1833228,860642,1876520,1899982,1573163,2457108
Cachoeira do Itambe,1402507,823119,1075251,0,647468,703937,848252,1176039,1049281,1072743,745924,1629869
Cachoeira do Tabuleiro,1889810,1310422,1684621,666952,0,608969,526142,1758503,1052001,1075463,748644,1426938
Cachoeira Conde Deu,1672610,1093223,1627624,698885,609908,0,277678,1815932,1429570,1453032,1126213,1930277
Cachoeira da Fumaca,1867660,1288273,1822674,842094,518337,277465,0,2010982,1418683,1442145,1115327,1919391
Cachoeira Boca da Onca,1585455,1309175,856924,1191968,1761466,1827306,2020880,0,1656970,1680432,1358071,2234997
Cachoeira Veu da Noiva,2387210,1807823,1872426,1047209,1053176,1429588,1441565,1656723,0,41690,338379,664616
Cachoeira Santa Barbara,2410672,1831285,1895888,1070671,1076638,1453050,1465027,1680185,41690,0,361841,688078
Cachoeira do Tororo,2083509,1504122,1568725,743508,749474,1125887,1137864,1371121,349531,372993,0,930119
Cachoeira do Formiga,2967920,2388533,2453136,1627919,1419406,1929356,1895871,2234899,664607,688069,919089,0
